Kanji,Word,Meaning,Meaning_FR,Meaning_KR
揚,陸揚げ,"unloading (a ship), landing","déchargement (un navire), atterrissage","하역(선박), 착륙"
揚,揚げ物,deep-fried food,aliments frits,튀김
冒,冒頭,"beginning, start, outset","début, début, début","시작, 시작, 시작"
冒,冒険,"risk, venture, adventure","risque, aventure, aventure","위험, 벤처, 모험"
冒,冒す,"to brave, to risk, to face, to venture, to desecrate, to profane","de braver, de risquer, de faire face, de s’aventurer, de profaner, de profane","용감하고, 위험을 감수하고, 대면하고, 모험하고, 모독하고, 불경한"
冒,冒とく,"blasphemy, curse, profanity, sacrilege, desecration","blasphème, malédiction, blasphème, sacrilège, profanation","신성 모독, 저주, 욕설, 희생, 모독"
冒,感冒,cold,Froid,감기
冒,冒険者,adventurer,Aventurier,모험가
冒,冒険小説,"adventure story, novel of adventure","histoire d’aventure, roman d’aventure","모험 이야기, 모험의 소설"
冒,流行性感冒,"influenza, flu","grippe, grippe","인플루엔자, 독감"
冒,冒涜,"blasphemy, curse, profanity, sacrilege, desecration","blasphème, malédiction, blasphème, sacrilège, profanation","신성 모독, 저주, 욕설, 희생, 모독"
冒,冒険談,tale of adventure,conte de l’aventure,모험이야기
倫,倫理,"ethics, morals","éthique, morale","윤리, 도덕"
倫,不倫,"adultery, immorality, impropriety","l’adultère, l’immoralité, l’irrégularité","간음, 부도덕, 부정"
倫,倫理的,ethical,Éthique,윤리적인
倫,倫理学,"ethics, moral philosophy","éthique, philosophie morale","윤리, 도덕적 철학"
倫,映倫,Motion Picture Code of Ethics Committee,Comité du Code d’éthique du cinéma,영화 윤리위원회
倫,五倫の道,the five Confucian filial-piety relationships,les cinq relations confucéennes de la piété filiale,다섯 유교의 선불-경건한 관계
倫,人倫,"human relations, humanity","relations humaines, l’humanité","인간 관계, 인류"
倫,生命倫理,bioethics,Bioéthique,생명 윤리
倫,絶倫,"matchless, unequaled, unequalled, peerless","incomparables, inégalées, inégalées, incomparables","비할 데 없는, 타의 추종을 불허하는, 비할 데 없는"
倫,沈倫,"sinking into obscurity, being ruined","s’enfoncer dans l’obscurité, être ruiné","은둔으로 가라 앉고, 파괴되고"
陳,陳述,"statement, declaration","déclaration, déclaration","문, 선언"
陳,陳情,"petition, appeal","pétition, appel","청원서, 항소"
陳,陳謝,apology,Excuses,사과
陳,陳列,"exhibition, display, show","exposition, affichage, spectacle","전시, 전시, 전시"
陳,新陳代謝,"renewal, replacement, metabolism","renouvellement, remplacement, métabolisme","갱신, 교체, 신진 대사"
陳,陳腐,"stale, hackneyed, cliched","rassis, hackneyed, cliched","부실한, 해크니, 진부한"
陳,陳べる,"to state, to express, to mention","d’affirmer, d’exprimer, de mentionner","상태, 표현, 언급"
陳,陳こびる,"to look old, to appear mature (e.g. of children)","pour paraître vieux, pour paraître mature (p. ex. des enfants)",성숙한 것처럼 보이기 위해 늙어 보이려면 (예 : 어린이)
陳,陳ねこびる,"to look old, to appear mature (e.g. of children)","pour paraître vieux, pour paraître mature (p. ex. des enfants)",성숙한 것처럼 보이기 위해 늙어 보이려면 (예 : 어린이)
陳,陳ねる,to age,à l’âge,나이를
憶,記憶,"memory, recollection, remembrance; storage","mémoire, souvenir, souvenir; Stockage","기억, 기억, 기억; 보관소"
憶,憶測,"guess, speculation, supposition","conjecture, spéculation, supposition","추측, 추측, 추측"
憶,憶病,"cowardice, timidity","lâcheté, timidité","비겁, 겁"
憶,追憶,"recollection, reminiscence","souvenir, réminiscence","회상, 회상"
憶,憶える,"to remember, to recollect, to memorize, to memorise; to feel","se souvenir, se souvenir, mémoriser, mémoriser; de se sentir","기억하고, 기억하고, 기억하고, 암기하고, 암기한다. 느낄 수 있습니다."
憶,憶う,"to think, to consider, to believe; to think (of doing), to plan (to do); to judge, to assess, to regard; to imagine, to suppose, to dream; to expect, to look forward to; to feel, to desire, to want; to recall, to remember","penser, considérer, croire; penser (de faire), planifier (faire); juger, évaluer, considérer; d’imaginer, de supposer, de rêver; s’attendre, à attendre avec impatience; de ressentir, de désirer, de vouloir; rappeler, se souvenir","생각하고, 생각하고, 믿고, 믿습니다. (할 일) 생각하고, 계획하기 위해; 판단하고, 평가하고, 고려하기; 상상하고, 상상하고, 꿈을 꾸고, 기대, 기대; 느끼고, 욕망하고, 원하는 것; 기억하기 위해, 기억"
憶,一次記憶,first memory,premier souvenir,첫 번째 메모리
憶,憶説,"hypothesis, speculation, surmise","hypothèse, spéculation, supposition","가설, 추측, 추측"
憶,憶念,something one always remembers,quelque chose dont on se souvient toujours,뭔가 하나는 항상 기억
憶,仮想記憶,"virtual memory, virtual storage","mémoire virtuelle, stockage virtuel","가상 메모리, 가상 스토리지"
潜,潜在,"potentiality, dormancy, latency","potentialité, dormance, latence","가능성, 휴면 시간, 대기 시간"
潜,潜水艦,submarine,Sous-marin,잠수함
潜,潜む,"to lurk, to lie dormant, to be hidden, to be concealed, to be stashed","de se cacher, de s’allonger en sommeil, d’être caché, d’être caché, d’être caché","숨어, 잠복 거짓말, 숨겨진, 은폐, 숨겨질"
潜,潜水,diving,Plongée,다이빙
潜,原潜,nuclear submarine,sous-marin nucléaire,핵 잠수함
潜,潜伏,"concealment, hiding, ambush, incubation","dissimulation, dissimulation, embuscade, incubation","은폐, 은폐, 매복, 인큐베이션"
潜,潜り,"diving, diver, unlicensed (doctor, driver, etc.), unregistered, unqualified","plongée, plongeur, sans permis (médecin, conducteur, etc.), non enregistré, sans qualification","다이빙, 다이버, 무면허(의사, 운전기사 등), 미등록, 미자격"
潜,潜る,"to drive, to pass through, to pass under; to evade, to hide; to survive","de conduire, de passer à travers, de passer sous; d’échapper, de se cacher; pour survivre","드라이브, 통과, 아래 통과; 회피, 숨기기; 살아남기 위해"
潜,潜行,"underwater navigation, travelling incognito, traveling incognito, travelling in disguise, traveling in disguise","navigation sous-marine, voyage incognito, voyage incognito, voyageant déguisé, voyageant déguisé","수중 탐색, 시크릿 여행, 시크릿 여행, 변장, 변장 여행"
潜,潜航,"submarine voyage, underwater navigation","voyage sous-marin, navigation sous-marine","잠수함 항해, 수중 항해"
熊,熊,bear (animal),ours (animal),곰 (동물)
熊,熊手,"rake, fork, bamboo rake","râteau, fourchette, râteau en bambou","레이크, 포크, 대나무 갈퀴"
熊,穴熊,badger; Eurasian badger (Meles meles),blaireau; Blaireau eurasien (Meles meles),오소리; 유라시아 오소리 (멜레스 멜레스)
熊,アメリカ熊,American black bear (Ursus americanus),Ours noir américain (Ursus americanus),미국 흑곰 (우르수스 아메리칸)
熊,マレー熊,Malayan sun bear (Helarctos malayanus),Ours de soleil malais (Helarctos malayanus),말레이시아 태양 곰 (헬라크토스 말라야누스)
熊,熊本県,Kumamoto prefecture (Kyuushuu),Préfecture de Kumamoto (Kyuushuu),구마모토현(규우스후)
熊,小熊のプーさん,Winnie the Pooh,Winnie l’ourson,곰돌이 푸
熊,北極熊,polar bear,ours polaire,북극곰
熊,黒熊,black bear,ours noir,검은 곰
熊,洗い熊,common raccoon (Procyon lotor),raton laveur commun (Lotor Procyon),일반적인 너구리 (프로시온 로터)
克,克服,"subjugation, conquest, victory","subjugation, conquête, victoire","정복, 정복, 승리"
克,克明,"detailed, elaborate, faithfulness, diligence, conscientiousness","détaillé, élaboré, fidélité, diligence, conscience","상세한, 정교한, 충실함, 근면, 양심"
克,克己,"self denial, self control","l’abnégation, le contrôle de soi","자기 부정, 자기 통제"
克,相克,rivalry,Rivalité,경쟁
克,下克上,"juniors dominating seniors, retainer supplanting his lord","juniors dominant les aînés, retenue supplantant son seigneur","후배들은 노인을 지배하고, 주인을 대체하는 보유자"
克,克つ,"to win, to gain victory","pour gagner, pour gagner la victoire",승리를 얻기 위해
克,克く,"nicely, properly, well, skillfully; frequently, often","bien, correctement, eh bien, habilement; fréquemment, souvent","멋지게, 제대로, 잘, 능숙; 자주, 자주"
克,馬克,mark,Marque,마크
克,克己心,spirit of self-denial,esprit d’abnégation,자기 부정의 정신
克,克復,restoration,Restauration,복원
岳,山岳,mountains,Montagnes,산
岳,岳,peak; mountain,pic; Montagne,피크; 산
岳,雲仙岳,mountain in Nagasaki Prefecture,montagne dans la préfecture de Nagasaki,나가사키현의 산
岳,岳父,"(man's) father-in-law, father of one's wife","(homme) beau-père, père de sa femme","(남자의) 시아버지, 한 사람의 아내의 아버지"
岳,山岳地帯,mountain district,district de montagne,산악 지구
岳,山岳部,mountaineering club,club d’alpinisme,등산 클럽
岳,山岳病,altitude sickness,Altitude,고산병
岳,富岳,(alternative name for) Mt. Fuji,(nom alternatif pour) Mt. Fuji,(대체 이름) 후지산
岳,岳友会,mountaineering club,club d’alpinisme,등산 클럽
岳,岳麓,foot of Mt Fuji,pied du mont Fuji,후지산의 발
概,概算,"approximation, rough estimate","approximation, estimation approximative","근사치, 대략적인 추정치"
概,概念,"general idea, concept, notion","idée générale, concept, notion","일반적인 아이디어, 개념, 개념"
概,概要,"outline, summary, abridgment, synopsis","aperçu, résumé, abridgment, synopsis","개요, 요약, 요약, 개요, 개요"
概,気概,strong spirit,esprit fort,강한 정신
概,概して,"generally, as a rule","généralement, en règle générale, en règle générale",일반적으로 원칙적으로
概,一概に,"unconditionally, as a rule","inconditionnellement, en règle générale",원칙적으로 무조건
概,概況,"outlook, general situation","perspectives, situation générale","전망, 일반적인 상황"
概,概観,"general view, outline","vue générale, aperçu","일반 보기, 개요"
概,既成概念,"stereotype, preconceived idea, preconceived notion","stéréotype, idée préconçue, notion préconçue","고정관념, 선입견, 선입견"
概,概論,"introduction, outline, general remarks","introduction, esquisse, remarques générales","소개, 개요, 일반 발언"
拘,拘束,"restriction, restraint, binding","restriction, retenue, liaison","제한, 구속, 바인딩"
拘,拘置,"detention, confinement, arrest","détention, séquestration, arrestation","구금, 구금, 체포"
拘,拘置所,"prison, detention house","prison, maison de détention","감옥, 구금"
拘,拘禁,intern,Stagiaire,인턴
拘,拘留,"detention, hold a person in custody","détention, détenir une personne en détention","구금, 구금 중인 사람을 보유"
拘,拘束時間,total hours spent working,total des heures passées à travailler,총 근무 시간
拘,拘わる,"to fuss over, to be particular about; to be obsessive, to be fixated","pour s’agiter, pour être précis; d’être obsessionnel, d’être fixé","소란에, 에 대한 구애; 집착하기 위해, 집착해야 한다."
拘,拘る,"to fuss over, to be particular about; to be obsessive, to be fixated","pour s’agiter, pour être précis; d’être obsessionnel, d’être fixé","소란에, 에 대한 구애; 집착하기 위해, 집착해야 한다."
拘,拘らず,"in spite of, regardless of","en dépit de, indépendamment de",에 관계없이
拘,拘わらず,"in spite of, regardless of","en dépit de, indépendamment de",에 관계없이
黙,黙る,to be silent,pour se taire,침묵하기
黙,沈黙,"silence, reticence","silence, réticence","침묵, 망설기"
黙,黙とう,silent prayer,prière silencieuse,조용한 기도
黙,暗黙,"tacit, implicit","tacite, implicite","암묵적, 암시적"
黙,黙秘,"keep silent, keep a secret","garder le silence, garder un secret",침묵을 지키고 비밀을 유지하십시오.
黙,寡黙,"silent (person), shy, tacitern, reticent, uncommunicative","silencieux (personne), timide, tacitern, réticent, non communicatif","침묵 (사람), 수줍음, 암묵적, 망설임, 의사 소통"
黙,黙認,"connivance, tacit consent, toleration","connivence, consentement tacite, tolérance","교제, 암묵적 동의, 관용"
黙,黙示,"revelation, apocalypse","révélation, apocalypse","계시, 종말"
黙,黙殺,"ignoring, shelving, smothering, treating with silent contempt; withholding comment","ignorer, rayonner, étouffer, traiter avec mépris silencieux; retenant le commentaire","무시하고, 선반을 꾸미고, 질식하고, 조용히 경멸하는 태도로 대한다. 보류 코멘트"
黙,黙,"silence, stillness, quietness","silence, calme, tranquillité","침묵, 고요함, 고요함"
偏,偏差値,"deviation, deviation value; academic performance relative to the group average","déviation, valeur de déviation; rendement scolaire par rapport à la moyenne du groupe","편차, 편차 값; 그룹 평균에 비해 학업 성적"
偏,偏見,"prejudice, narrow view","préjugés, vue étroite","편견, 좁은 전망"
偏,偏重,"preponderance, making too much of, overestimation, overemphasis, attaching too much importance to","prépondérance, faisant trop de, surestimation, surévaluation, attachant trop d’importance à","우세, 너무 많이 만들기, 과대 평가, 과중 강조, 너무 많은 중요성을 첨부"
偏,偏り,"deviation, inclination, offset, polarization, polarisation, bias, prejudice","déviation, inclination, compensation, polarisation, polarisation, partialité, préjugés","편차, 경사도, 오프셋, 편광, 편광, 편견, 편견"
偏,偏向,"propensity, tendency, inclination, deflection","propension, tendance, inclinaison, déviation","성향, 경향, 성향, 편향"
偏,偏る,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased, to be biassed","d’être partial, d’incliner, d’être partial, d’être lésé, de se pencher, d’être partial, d’être biaisé","일방적으로, 기울고, 부분적으로, 편견을 가지고, 기울고, 기울고, 편견을 가지며, 편견을 가지기 위해"
偏,不偏不党,"impartiality, neutrality, independence","impartialité, neutralité, indépendance","공정성, 중립성, 독립성"
偏,偏西風,westerlies,Westerlies (ouest),웨스터리스 ()와 웨스터리스 ()
偏,偏狭,"narrow-mindedness, intolerance, illiberality, narrowness","étroitesse d’esprit, intolérance, illibéralité, étroitesse","좁은 사고, 편협, 문맹, 좁음"
偏,偏,left-hand radical of a character,radical de gauche d’un personnage,캐릭터의 왼쪽 라디칼
雰,雰囲気,"atmosphere (e.g. musical), mood, ambience, ambiance","atmosphère (p. ex. musique), humeur, ambiance, ambiance","분위기(예: 뮤지컬), 분위기, 분위기, 분위기"
雰,霜雰,frosty air,air givré,서리가 내린 공기
雰,霧雰,misty air,air brumeux,안개 낀 공기
雰,雰囲気を壊す,to spoil the mood,pour gâcher l’ambiance,분위기를 망치고
雰,家族的な雰囲気,family atmosphere,ambiance familiale,가족 분위기
遇,待遇,"treatment, reception","traitement, réception","치료, 리셉션"
遇,優遇,"favorable treatment, favourable treatment, hospitality, warm reception, good treatment, hearty welcome","traitement favorable, traitement favorable, hospitalité, accueil chaleureux, bon traitement, accueil chaleureux","유리한 대우, 유리한 대우, 환대, 따뜻한 환대, 좋은 대우, 풍성한 환영"
遇,処遇,"treatment, dealing with","traitement, en traitant","치료, 다루기"
遇,最優遇,"most favourable treatment, most favorable treatment, very warm reception","traitement le plus favorable, traitement le plus favorable, accueil très chaleureux","가장 유리한 치료, 가장 유리한 치료, 매우 따뜻한 리셉션"
遇,境遇,"environment, circumstances","environnement, circonstances","환경, 상황"
遇,不遇,"misfortune, bad luck, obscurity","malheur, malchance, obscurité","불행, 불운, 모호함"
遇,千載一遇,"once in a lifetime (opportunity), (a golden opportunity that may) happen only once in a thousand years","une fois dans une vie (opportunité), (une occasion en or qui peut) se produire qu’une fois dans mille ans","일생에 한 번 (기회), (할 수있는 황금 기회) 천 년에 한 번만 발생"
遇,遭遇,encounter,Rencontre,발생
遇,厚遇,"cordial welcome, kind treatment, hospitality","accueil cordial, traitement aimable, hospitalité","따뜻한 환영, 친절한 대우, 환대"
遇,遇う,"to meet, to encounter; to have an accident, to have a bad experience","de se rencontrer, de rencontrer; d’avoir un accident, d’avoir une mauvaise expérience","만날 수 있습니다. 사고를 가지고, 나쁜 경험을 가지고"
彦,俊彦,gifted (accomplished) man,homme doué (accompli),재능있는 (성취) 남자
彦,彦,boy,Garçon,소년
彦,山彦,echo (as in mountain echo),écho (comme dans l’écho de montagne),에코 (산 에코에서와 같이)
彦,彦星,Altair,Altair,알테어 (주)
彦,諸彦,many accomplished persons,beaucoup de personnes accomplies,많은 성취한 사람
彦,猿田彦,"Sarutahiko (Shinto god), Sarudahiko, Sarutabiko, Sarudabiko","Sarutahiko (Dieu shintoïste), Sarudahiko, Sarutabiko, Sarudabiko","사루타이코 (신토 신), 사루다히코, 사루타비코, 사루다비코"
諮,諮問,"question, enquiry, inquiry","question, enquête, enquête","질문, 문의, 문의"
諮,諮る,"to consult with, to discuss, to confer","de consulter, de discuter, de conférer","상담하고, 논의하고,"
諮,国際電信電話諮問委員会,"International Telegraph and Telephone Consultative Committee, CCITT","International Telegraph and Telephone Consultative Committee, CCITT","국제 전신 및 전화 자문위원회, CCITT"
諮,諮問機関,"consultative body, advisory committee, advisory organ","organe consultatif, comité consultatif, organe consultatif","자문기구, 자문위원회, 자문기관"
諮,諮詢,"question, enquiry, inquiry","question, enquête, enquête","질문, 문의, 문의"
諮,諮議,"consultation, conference","consultation, conférence",상담·컨퍼런스
諮,委員会に諮る,to submit (a plan) to a committee for deliberation,soumettre (un plan) à un comité pour délibération,심의위원회에 (계획)을 제출한다.
諮,諮問委員会,"advisory committee (council, panel)","comité consultatif (conseil, comité)","자문위원회(심의회, 패널)"
諮,国際無線通信諮問委員会,"Comite Consultatif International des Radiocommunications, CCIR","Comite Consultatif International des Radiocommunications, CCIR","코미트 컨설턴트 인터내셔널 데 라디오 커뮤니케이션, CCIR"
諮,諮問事項,terms of reference,termes de référence,참조 조건
狭,狭心症,"heart attack, angina pectoris","crise cardiaque, angine pectoris","심장 마비, 협심증"
狭,狭き門,"narrow gate, obstacle, school (position) hard to enter (get)","porte étroite, obstacle, école (position) difficile d’entrer (obtenir)","좁은 문, 장애물, 학교 (위치) 입력 하기 어려운 (get)"
狭,手狭,"narrow, small, cramped","étroite, petite, exigu","좁은, 작은, 비좁은"
狭,狭間,"interval, threshold, interstice; valley, gorge, ravine; loophole, eyelet","intervalle, seuil, interstice; vallée, gorge, ravin; échappatoire, oeillette","간격, 임계값, 간결; 계곡, 협곡, 협곡; 허점, 아일렛"
狭,狭める,"to narrow, to reduce, to contract","de rétrécir, de réduire, de contracter","좁히기 위해, 감소시키기 위해, 계약"
狭,狭まる,"to narrow, to contract","à rétrécir, à contracter","좁혀서, 계약하기"
狭,偏狭,"narrow-mindedness, intolerance, illiberality, narrowness","étroitesse d’esprit, intolérance, illibéralité, étroitesse","좁은 사고, 편협, 문맹, 좁음"
狭,狭い,"narrow, confined, small","étroite, confinée, petite","좁은, 제한된, 작은"
狭,狭義,"narrow sense (e.g. of a word), strict","sens étroit (p. ex. d’un mot), strict",좁은 감각(예: 단어)
狭,狭さく,"stricture, stenosis, contraction","stricte, sténose, contraction","협착, 협착, 수축"
卓,卓,"table, desk, high","table, bureau, haut","테이블, 책상, 높은"
卓,卓球,"table tennis, ping-pong","tennis de table, ping-pong","탁구, 탁구"
卓,食卓,dining table,table à manger,식탁
卓,円卓,round table,table ronde,라운드 테이블
卓,卓越,"excellence, superiority","excellence, supériorité","우수성, 우수성"
卓,電卓,calculator (electronic),calculatrice (électronique),계산기 (전자)
卓,卓上,"on the table (desk), after-dinner speech","sur la table (bureau), discours d’après-dîner","식탁(책상), 저녁 식사 후 연설"
卓,卓抜,"excellence, superiority, preeminence, prevalence","l’excellence, la supériorité, la prééminence, la prévalence","우수성, 우수성, 우수성, 보급"
卓,円卓会議,round-table conference,conférence à table ronde,라운드 테이블 컨퍼런스
卓,卓越風,prevailing wind,vent dominant,지배적인 바람
阿,阿弥陀,Amitabha,Amitabha,아미타바 주
阿,阿,"corner, nook, recess; a shadow, a shade","coin, coin, récréation; une ombre, une ombre","구석, 구석, 오목; 그림자, 그늘"
阿,阿る,to flatter,pour flatter,아첨하기
阿,阿ねる,to flatter,pour flatter,아첨하기
阿,阿うん,"Om, Aun, syllable representing the primordial trinity of Vishnu, Shiva and Brahma; inspiration and expiration, respiration, alpha and omega","Om, Aun, syllabe représentant la trinité primordiale de Vishnu, Shiva et Brahma; inspiration et expiration, respiration, alpha et oméga","비슈누, 시바, 브라흐마의 원시 삼위일체를 나타내는 옴, 아운, 음절; 영감과 만료, 호흡, 알파와 오메가"
阿,阿吽の呼吸,"the harmonizing, mentally and physically, of two parties engaged in an activity","l’harmonisation, mentalement et physiquement, de deux parties engagées dans une activité","활동에 종사하는 두 당사자의 정신적, 육체적으로 조화를 이루는"
阿,阿蘭陀,"Holland, The Netherlands","Hollande, Pays-Bas","네덜란드, 네덜란드"
阿,阿多福,"moon-faced woman, homely woman","femme face à la lune, femme accueillante","달얼굴의 여성, 가정이 된 여성"
阿,阿鼻叫喚,"agonizing cries, pandemonium, two of Buddhism's hells","cris atroces, pandémonium, deux des enfers du bouddhisme","고통스러운 외침, 판데모니움, 불교의 지옥 의 두"
阿,阿片窟,opium den,tanière d’opium,아편 덴
糧,食糧,"provisions, rations, food supply","provisions, rations, approvisionnement alimentaire","식량, 식량 공급"
糧,食糧庁,food agency,agence alimentaire,식품 대행사
糧,兵糧,"(army) provisions, food","(armée) dispositions, nourriture",(군대) 식량
糧,糧,"food, provisions","nourriture, provisions","음식, 식량"
糧,糧食,provisions,Dispositions,조항
糧,衣糧,food and clothing,nourriture et vêtements,음식 및 의류
糧,食糧援助,food assistance,l’aide alimentaire,식량 지원
糧,食糧配給,food distribution,distribution alimentaire,식품 유통
糧,食糧不足,food shortage,pénurie alimentaire,식량 부족
糧,心の糧,food for thought,Matière à réflexion,생각할 거리
簿,名簿,register of names,registre des noms,이름 등록
簿,帳簿,"account book, register","livre de compte, inscrivez-vous","계정 장부, 등록"
簿,家計簿,household account book,livre de compte de ménage,가계 도서
簿,簿外,"unaccounted, off the books","introuvables, hors des livres","계정, 책에서 벗어난"
簿,簿記,"journalization (accounts), journalisation, bookkeeping","journalisation (comptes), journalisation, comptabilité","저널화(계정), 저널화, 부기"
簿,通信簿,report card,bulletin,보고서 카드
簿,原簿,"ledger, original record, register","registre, dossier original, registre","원장, 원본 기록, 레지스터"
簿,出納簿,cashbook,livret,현금 인출기
簿,会員名簿,membership list,liste d’adhérents,멤버십 목록
簿,出勤簿,employee's attendance record,dossier de fréquentation de l’employé,직원의 출석 기록
炉,原子炉,"atomic reactor, nuclear reactor","réacteur atomique, réacteur nucléaire","원자로, 원자로"
炉,炉心,nuclear reactor core,cœur de réacteur nucléaire,원자로 코어
炉,高炉,blast furnace,Fourneau,용광로
炉,香炉,"censer, incense burner","censer, brûleur d’encens","향로, 향로"
炉,炉,"hearth, fireplace; furnace, kiln","foyer, cheminée; four, four","난로, 벽난로; 용광로, 가마"
炉,暖炉,"fireplace, hearth, stove","cheminée, foyer, poêle","벽난로, 난로, 난로"
炉,溶鉱炉,"smelting furnace, blast furnace","haut de fond, haut fourneau","제련용광로, 용광로"
炉,電気炉,electric furnace,four électrique,전기 로
炉,アーク炉,arc furnace,four à arc,아크로
炉,囲炉裏,"hearth, fireplace","foyer, cheminée","난로, 벽난로"
殊,特殊,"special, unique","spécial, unique",특별하고 독특한
殊,特殊法人,semigovernmental corporation,société semi-gouvernementale,준정부법인
殊,殊勲,meritorious deeds,des faits méritoires,공로적인 증서
殊,殊,"difference (from one another), different thing, other; unusual, extraordinary","différence (les uns des autres), chose différente, autre; inhabituel, extraordinaire","차이 (서로), 다른 것, 다른; 특이한, 특별한"
殊,殊勝,"admirable, laudable","admirable, louable","감탄, 칭찬"
殊,殊に,"especially, particularly, unusually, above all; additionally","en particulier, en particulier, exceptionnellement, surtout; Plus","특히, 특히, 비정상적으로, 무엇보다도; 또한"
殊,特殊撮影,"special effects, SFX","effets spéciaux, SFX","특수 효과, SFX"
殊,殊な,"exceptional, praiseworthy, laudable","exceptionnel, louable, louable","뛰어난, 칭찬, 칭찬"
殊,行殊,event,Événement,이벤트
殊,三人寄れば文殊の知恵,two heads are better than one,deux têtes valent mieux qu’une,두 개의 헤드가 하나보다 낫습니다.
殖,増殖,"increase, multiplication, propagation","augmentation, multiplication, propagation","증가, 곱셈, 전파"
殖,繁殖,"breed, multiply, increase, propagation","se reproduire, se multiplier, augmenter, se propager","품종, 증식, 증가, 전파"
殖,養殖,"raising, culture, cultivation","l’éducation, la culture, la culture","양육, 문화, 재배"
殖,生殖,reproduction,Reproduction,재생산
殖,拓殖,"colonization, colonisation, exploitation","colonisation, colonisation, exploitation","식민지화, 식민지화, 착취"
殖,殖産,"production increase, enhancement of one's fortune","augmentation de la production, l’amélioration de sa fortune","생산 증가, 자신의 재산의 향상"
殖,利殖,money-making,faire de l’argent,돈 벌기
殖,殖える,"to increase, to multiply","d’augmenter, de multiplier",증가하려면 곱하기
殖,殖やす,"to increase, to add to, to augment","d’augmenter, d’ajouter à, d’augmenter","증가하려면, 추가, 증강"
殖,生殖器,"genital organ, genitalia, sexual organ, reproductive organ","organes génitaux, organes génitaux, organes sexuels, organes reproducteurs","생식기, 생식기, 성기, 생식기"
艦,艦,warship,Navire,군함
艦,艦隊,"(naval) fleet, armada","flotte (navale), armada","(해군) 함대, 함대"
艦,潜水艦,submarine,Sous-marin,잠수함
艦,艦船,"(ocean) vessels, warship","navires (océan), navire de guerre","(바다) 선박, 군함"
艦,艦艇,"military vessel, war fleet","navire militaire, flotte de guerre","군함, 전쟁 함대"
艦,軍艦,"warship, battleship","navire de guerre, cuirassé","군함, 전함"
艦,戦艦,battleship,Battleship,전함
艦,駆逐艦,destroyer,Destroyer,구축함
艦,艦長,captain (of a warship),capitaine (d’un navire de guerre),선장 (군함)
艦,艦載機,ship-borne plane,avion embarqué,선박 부담 비행기
輩,先輩,"senior (at work or school), superior, elder, older graduate, progenitor, old-timer","senior (au travail ou à l’école), supérieure, aînée, diplômée plus âgée, progéniteur,","시니어(직장 또는 학교), 상급자, 장로, 고령자, 선조, 고령자"
輩,後輩,junior (at work or school),junior (au travail ou à l’école),주니어 (직장이나 학교에서)
輩,輩出,turning out in great numbers,se tourner en grand nombre,큰 숫자로 밝혀
輩,輩,"party (of people), set (of people), clan, family, fellow","partie (des personnes), ensemble (des personnes), clan, famille,","파티 (사람들), 세트 (사람들의), 씨족, 가족, 동료"
輩,吾輩,"I (nuance of arrogance), me, myself; we, us, ourselves","Je (nuance de l’arrogance), moi, moi-même; nous, nous, nous-mêmes","나 (오만의 뉘앙스), 나 자신; 우리, 우리 자신"
輩,輩,"comrade, fellow","camarade, camarade","동지, 동료"
輩,輩,suffixed to words indicating a class of people to create a plural (esp. in impolite contexts),suffixé à des mots indiquant une classe de personnes pour créer un pluriel (esp. dans des contextes impolis),복수를 만드는 사람들의 클래스를 나타내는 단어에 접미사 (esp. 무례한 맥락에서)
輩,輩,"group, gang, bunch","groupe, gang, bande","그룹, 갱, 무리"
輩,わが輩,"I (nuance of arrogance), me, myself; we, us, ourselves","Je (nuance de l’arrogance), moi, moi-même; nous, nous, nous-mêmes","나 (오만의 뉘앙스), 나 자신; 우리, 우리 자신"
輩,軽輩,underling,Sous-fifre,언더링
奇,奇妙,"strange, queer, curious","étrange, bizarre, curieux","이상한, 퀴어, 호기심"
奇,奇跡,"miracle, wonder, marvel","miracle, émerveillement, merveille","기적, 경이로움, 경이로움"
奇,好奇心,"curiosity, inquisitiveness","curiosité, curiosité","호기심, 호기심"
奇,奇襲,surprise attack,attaque surprise,기습 공격
奇,奇異,"odd, strange, wonderful","étrange, étrange, merveilleux","이상한, 이상한, 멋진"
奇,奇抜,"novel, original, striking, strange, eccentric, fantastic","roman, original, frappant, étrange, excentrique, fantastique","소설, 원래, 눈에 띄는, 이상한, 편심, 환상적인"
奇,奇想天外,"fantastic idea, bizarre","idée fantastique, bizarre","환상적인 아이디어, 기괴한"
奇,奇形,birth defect; freak,malformation congénitale; Freak,출생 결함; 괴물
奇,数奇,"checkered, varied, misfortune","à carreaux, varié, malheur","체크 무늬, 다양한, 불행"
奇,怪奇,"bizarre, strange, wonderful, weird, outrageous","bizarre, étrange, merveilleux, bizarre, scandaleux","기괴한, 이상한, 멋진, 이상한, 터무니없는"
慢,自慢,"pride, boast","fierté, se vanter","자부심, 자랑"
慢,慢性,"chronicity, chronic","chronique, chronique","만성, 만성"
慢,我慢,"patience, endurance, perseverance, tolerance, self-control, self-denial","patience, endurance, persévérance, tolérance, maîtrise de soi, abnégation","인내, 인내, 인내, 관용, 자제력, 자기 부정"
慢,慢性的,chronic,Chronique,만성
慢,怠慢,"negligence, procrastination, carelessness","négligence, tergiversation, négligence","과실, 미루기, 부주의"
